1739,17.38,-622.452393,871.789734,881.280945,-619.219666,908.933594,869.595276,-596.161926,850.916626,897.339966,-564.281616,931.726746,892.752991,-376.298492,881.057251,999.110291,-390.791962,912.454041,984.917542,-423.302704,833.423279,988.804077,-448.838196,853.404968,970.38678,-460.202332,627.966431,1017.33374,-413.675812,675.405029,1028.29248,-486.74884,647.201477,1000.063171,-460.968597,710.771484,996.894409,-661.445679,669.466553,910.401184,-657.754578,705.684631,898.013306,-633.843567,646.879089,925.46991,-632.758118,730.175049,905.790588,,,,,,,,,,,,,,,
1740,17.39,-621.888367,913.133667,862.404602,-609.401062,886.559631,869.271484,-606.705688,924.363464,860.92157,-582.779968,864.596436,885.03479,-549.289246,944.569275,880.595032,-363.793091,890.960388,990.070679,-377.49408,922.72583,975.533325,-411.481812,843.80304,979.021667,-437.985474,863.487854,960.500916,-453.057251,639.75293,1008.747742,-405.78299,686.32019,1020.245789,-479.109467,659.448425,990.873962,-452.266266,722.21814,987.985718,-651.917786,684.18335,898.52124,-647.252319,720.741089,885.99231,-624.737793,661.443359,914.203125,-622.000061,744.431763,894.027893,,,,,,,,,,,,
1741,17.4,-594.882812,900.480164,856.820801,-591.313599,937.384949,845.231506,-568.751282,878.152222,873.01355,-533.959167,957.153625,868.628906,-351.009949,900.465881,981.279236,-363.765656,932.34906,966.0578,-399.46637,854.370056,969.888672,-422.043182,877.061951,950.928101,-445.65918,651.393188,1000.00647,-397.683044,697.042419,1011.883057,-471.298706,671.24054,981.875854,-442.888702,733.61084,979.016907,-641.87738,699.279419,886.709961,-636.61853,735.46759,874.279114,-615.572876,676.104614,902.874512,-610.821533,758.824707,882.401794,,,,,,,,,,,,,,,
1742,17.41,-579.501404,914.424377,844.778381,-574.655151,947.674255,830.367371,-554.1203,891.460083,861.246033,-517.635864,969.845154,857.141785,-337.624756,909.920532,972.427856,-349.549347,941.826782,956.952759,-387.006592,864.701721,960.912781,-411.860718,886.440857,941.114319,-437.946289,662.99054,991.555359,-389.332001,707.625732,1003.464905,-461.193634,683.553406,971.430664,-433.488464,744.97113,970.025452,-631.570679,714.550293,875.35791,-625.533569,750.172974,862.584473,-605.897156,691.030518,891.649475,-599.137146,773.64801,871.016357,,,,,,,,,,,,,,,
1743,17.42,-563.839539,927.859436,832.74707,-558.371338,961.74231,817.458313,-539.032471,905.786316,850.924072,-501.258331,982.909729,846.838745,-325.734589,919.226746,964.269653,-334.43512,951.655884,948.762207,-374.091736,874.813049,951.642822,-397.952026,896.789001,932.075928,-431.243011,674.117981,983.317383,-381.295959,718.218994,996.722046,-454.601532,694.961792,963.752014,-423.480225,755.903381,961.155701,-620.753174,729.523682,863.7995,-613.983521,765.29126,851.301086,-596.070435,705.6828,880.550781,-587.465027,788.042725,859.659973,,,,,,,,,,,,,,,
1744,17.43,-547.672607,941.265686,820.962402,-542.350403,977.302368,809.785461,-523.64563,919.064392,839.586487,-484.268768,995.108215,835.855469,-311.859253,927.58429,955.940002,-319.576324,960.569458,940.059814,-361.161133,884.421265,942.618774,-384.695801,906.067383,923.148315,-422.044708,686.5271,973.207153,-371.876923,729.227234,987.928223,-445.731689,706.635803,954.593079,-414.050751,766.083252,952.248596,-609.466003,744.450073,852.096802,-601.963318,780.336853,839.911499,-585.525024,720.441833,869.451843,-574.971802,801.842896,848.546265,,,,,,,,,,,,,,,
1745,17.44,-531.548828,956.645691,808.885559,-524.697876,991.072754,797.279358,-508.337463,931.685608,828.774231,-467.264069,1007.006836,824.871155,-297.043884,935.845581,948.593201,-304.728363,969.137573,931.820496,-347.904236,894.041565,934.189758,-371.423645,915.254578,914.506897,-412.715851,697.90979,964.117065,-361.906097,739.785706,979.23407,-436.435883,718.169312,945.366516,-403.109283,776.781738,942.237305,-597.698303,759.255798,840.60498,-585.966309,796.647522,825.870422,-574.53009,734.90863,858.234741,-562.322937,816.082703,837.062866,,,,,,,,,,,,,,,
1746,17.45,-514.024231,967.741943,798.15509,-507.308868,1002.736267,786.844116,-492.288269,944.292297,817.631042,-448.707947,1017.443481,813.975281,-283.024933,944.432983,940.749146,-289.783173,977.834839,924.101135,-334.587921,903.938416,926.199829,-357.070618,925.210388,905.846802,-402.993835,709.514648,955.221436,-351.537018,750.14209,970.904907,-426.668549,729.756653,935.997742,-392.079681,787.791077,933.343872,-585.272644,773.779663,828.408752,-574.604431,809.26178,814.831787,-562.929443,749.174683,846.718323,-549.029602,829.660583,826.154846,,,,,,,,,,,,,,,
1747,17.46,-496.638672,980.304749,786.955627,-489.033295,1014.994507,775.595764,-475.668396,956.65448,807.023682,-430.788116,1028.459351,802.990295,-268.816895,953.235596,933.710632,-274.495667,986.443787,916.639587,-320.80069,913.360779,918.136719,-342.824677,934.751282,897.685303,-394.818665,719.530457,946.792419,-343.180084,758.682434,962.619202,-417.036591,741.32074,927.24939,-381.470978,799.072693,926.203308,-572.244507,787.954346,816.764709,-560.499268,823.238831,802.850342,-550.663086,763.061951,835.111023,-534.291565,843.327148,813.041931,,,,,,,,,,,,,,,
1748,17.47,-478.601257,992.910828,776.177124,-470.337494,1027.50769,764.863037,-458.511841,968.46814,795.575134,-412.627655,1039.809692,793.582031,-254.471222,962.1297,926.734802,-259.055878,994.760864,909.95813,-305.306702,924.384338,909.196838,-326.813599,945.983582,888.989929,-385.304626,730.515015,938.282471,-333.610931,769.005005,956.290649,-406.807739,752.596741,918.318054,-369.82016,809.478699,918.003479,-558.825378,802.031006,804.657715,-546.373962,837.142456,791.044434,-538.111145,776.987854,823.834656,-519.698914,856.720398,801.942627,,,,,,,,,,,,,,,
1749,17.48,-461.179352,1005.184143,766.025574,-451.131653,1039.533691,754.494995,-445.13797,979.942871,786.955444,-393.177979,1051.268555,784.716736,-241.286942,971.165344,919.942444,-243.26059,1002.39856,903.419373,-290.893036,933.570618,902.193481,-311.765717,955.282532,881.488098,-376.281525,739.905334,929.183289,-321.769592,779.576294,948.535583,-396.053375,763.769897,909.962341,-357.645325,819.276855,908.59552,-545.730103,816.127441,793.528564,-531.431885,851.039673,779.888611,-524.366394,791.279724,813.031433,-504.76004,870.193481,790.870972,,,,,,,,,,,,,,,
1750,17.49,-442.080017,1017.257568,755.932983,-431.122803,1051.921265,745.108398,-422.989166,993.282043,777.858459,-373.565247,1062.039185,776.007507,-225.937927,978.923828,913.934387,-227.247894,1010.010193,897.309204,-276.335754,942.123108,895.510803,-296.015381,964.243408,874.471375,-366.388092,750.763855,921.446106,-311.594727,789.460571,941.324158,-385.256439,775.078735,901.416687,-344.342316,831.05835,901.2901,-531.633484,830.428406,782.328796,-516.042542,865.055481,768.768982,-511.679138,804.682739,802.659241,-489.837189,883.468262,780.906128,,,,,,,,,,,,,,,
1751,17.5,-422.588684,1029.277344,746.434265,-410.659637,1063.59314,735.429138,-404.587036,1005.073425,768.807983,-353.50235,1072.577637,767.947205,-210.410721,985.845886,908.18866,-210.380508,1017.162048,891.797302,-261.397827,950.498962,889.490784,-280.063995,973.323303,867.458862,-356.287811,761.290649,913.913574,-301.408936,799.087158,934.654297,-374.632294,786.081116,893.520508,-332.090576,841.471497,894.262695,-517.250122,844.776917,771.684082,-504.430054,878.93988,760.106628,-497.507263,819.549438,791.720154,-474.162903,896.660034,771.199402,,,,,,,,,,,,,,,
